SupplierID,SupplierName,Phone,Address
62,Vũ và đối tác Công ty TNHH,(09)328-6496,"250 Phố Lê Hồng Phong, Phường 3, Thanh Khê, Đà Nẵng"
63,Mai và đối tác Tập Đoàn,+84-23-293085,"202 Ngách Ngô Quyền, Xã 13, Củ Chi, TP. Hồ Chí Minh"
64,Đặng và Lê Công ty Hợp danh,(06) 1893 6676,"376 Phố Nam Kỳ Khởi Nghĩa, Phường 15, Cầu Giấy, Hà Nội"
65,Vũ Phạm Công ty TNHH,+84-65-791 9989,"912 Phố Trần Hưng Đạo, Xã 4, Hóc Môn, TP. Hồ Chí Minh"
66,Nguyễn Công ty TNHH,(00)407-3997,"834 Đường Ngô Quyền, Phường 12, Quận 7, TP. Hồ Chí Minh"
67,Dương Công ty TNHH,07 9768 0207,"555 Đường Hai Bà Trưng, Phường 11, Hải Châu, Đà Nẵng"
68,Dương Công ty TNHH,(03) 3055 4301,"211 Hẻm Lê Lợi, Phường 11, Ninh Kiều, Cần Thơ"
69,Trần Công ty TNHH MTV,(03) 1076 4292,"399 Đường Trần Phú, Phường 7, Ngô Quyền, Hải Phòng"
70,Vũ và Nguyễn Tập Đoàn,+84 88 9980866,"526 Đường Lê Duẩn, Phường 8, Quận 1, TP. Hồ Chí Minh"
71,Dương và Bùi Công ty Hợp danh,(09)278-2182,"697 Ngõ Hoàng Diệu, Phường 8, Lê Chân, Hải Phòng"
72,Đặng Công ty Cổ phần,(05)264-1611,"577 Ngõ Nam Kỳ Khởi Nghĩa, Phường 11, Thanh Xuân, Hà Nội"
73,Dương và Dương Doanh nghiệp tư nhân,(02) 2210 6055,"245 Phố Kim Mã, Phường 15, Thanh Khê, Đà Nẵng"
74,Hoàng Vũ Công ty TNHH MTV,(03)973-4020,"572 Ngách Láng Hạ, Xã 15, Hóc Môn, TP. Hồ Chí Minh"
75,Trần và đối tác Doanh nghiệp tư nhân,+84-25-381970,"920 Hẻm Trần Phú, Phường 5, Đống Đa, Hà Nội"
76,Mai Mai Công ty TNHH MTV,+84 42 8376254,"584 Phố Nguyễn Trãi, Phường 17, Hải Châu, Đà Nẵng"
77,Dương và đối tác Công ty TNHH,+84 71 7165465,"945 Ngõ Trần Phú, Phường 13, Bình Thạnh, TP. Hồ Chí Minh"
78,Phạm Công ty Cổ phần,04 1542611,"448 Đường Nguyễn Chí Thanh, Xã 6, Củ Chi, TP. Hồ Chí Minh"
79,Lê và Nguyễn Công ty Cổ phần,02 9041425,"497 Ngách Nam Kỳ Khởi Nghĩa, Phường 18, Hoàn Kiếm, Hà Nội"
80,Trần Công ty TNHH MTV,(00)022-2871,"516 Ngách Kim Mã, Phường 20, Thanh Khê, Đà Nẵng"
81,Phạm và Bùi Công ty Hợp danh,(04) 3764 2470,"614 Hẻm Nguyễn Trãi, Phường 19, Quận 3, TP. Hồ Chí Minh"
82,Lê và Bùi Doanh nghiệp tư nhân,(01) 6659 5819,"978 Đường Nguyễn Chí Thanh, Phường 4, Thanh Xuân, Hà Nội"
83,Vũ Công ty TNHH MTV,(04)643-9812,"925 Đường Phan Chu Trinh, Phường 18, Cầu Giấy, Hà Nội"
84,Vũ và Vũ Công ty TNHH MTV,+84 45 2483092,"563 Đường Phan Chu Trinh, Phường 8, Hải Châu, Đà Nẵng"
85,Hoàng và Dương Doanh nghiệp tư nhân,03 4597334,"281 Hẻm Võ Thị Sáu, Phường 16, Ngô Quyền, Hải Phòng"
86,Mai Bùi Công ty TNHH MTV,+84-69-467915,"996 Phố Nam Kỳ Khởi Nghĩa, Phường 4, Ninh Kiều, Cần Thơ"
87,Mai Hoàng Công ty Trách nhiệm hữu hạn,06 0546 3407,"699 Ngõ Phan Chu Trinh, Phường 1, Cầu Giấy, Hà Nội"
88,Nguyễn và đối tác Công ty Cổ phần,(02)620-5048,"608 Ngách Cách Mạng Tháng 8, Phường 11, Quận 3, TP. Hồ Chí Minh"
89,Đặng Hoàng Công ty TNHH MTV,+84-50-873 1918,"162 Ngách Kim Mã, Phường 6, Hoàn Kiếm, Hà Nội"
90,Bùi Doanh nghiệp tư nhân,+84-88-057 2202,"530 Ngách Lý Thường Kiệt, Phường 17, Hai Bà Trưng, Hà Nội"
91,Dương và Vũ Công ty Cổ phần,(06)237-2823,"208 Đường Lý Thường Kiệt, Phường 5, Hai Bà Trưng, Hà Nội"
92,Đặng và Lê Công ty Cổ phần,(04)340-7292,"663 Phố Trần Hưng Đạo, Phường 7, Tân Bình, TP. Hồ Chí Minh"
93,Bùi Phạm Công ty Hợp danh,+84-78-929975,"148 Phố Trần Hưng Đạo, Phường 16, Lê Chân, Hải Phòng"
94,Hoàng và đối tác Công ty Trách nhiệm hữu hạn,02 7746 4595,"997 Ngách Lê Hồng Phong, Phường 11, Hải Châu, Đà Nẵng"
95,Nguyễn và Phạm Công ty TNHH MTV,07 0926 1306,"218 Đường Nguyễn Chí Thanh, Phường 16, Quận 3, TP. Hồ Chí Minh"
96,Trần và Mai Doanh nghiệp tư nhân,(01)759-9139,"998 Ngõ Nam Kỳ Khởi Nghĩa, Phường 14, Hải Châu, Đà Nẵng"
97,Mai Trần Doanh nghiệp tư nhân,+84-67-512336,"903 Ngách Nam Kỳ Khởi Nghĩa, Phường 20, Tân Bình, TP. Hồ Chí Minh"
98,Hoàng và đối tác Công ty Trách nhiệm hữu hạn,+84-34-461 9705,"597 Phố Pasteur, Phường 18, Hoàn Kiếm, Hà Nội"
99,Vũ Đặng Công ty TNHH MTV,(03)242-8698,"99 Ngõ Trần Hưng Đạo, Phường 8, Ninh Kiều, Cần Thơ"
100,Vũ Công ty Hợp danh,+84-37-130334,"552 Ngách Lê Lợi, Phường 1, Hai Bà Trưng, Hà Nội"
101,Vũ và Hoàng Công ty TNHH,04 2770 7711,"890 Đường Pasteur, Phường 9, Bình Thạnh, TP. Hồ Chí Minh"
102,Mai và Hoàng Công ty Hợp danh,06 2584 7142,"498 Đường Pasteur, Phường 17, Thanh Xuân, Hà Nội"
103,Trần Công ty Trách nhiệm hữu hạn,04 9430 6288,"33 Ngõ Võ Thị Sáu, Phường 5, Ngô Quyền, Hải Phòng"
104,Mai và đối tác Doanh nghiệp tư nhân,06 7056 5726,"996 Phố Ngô Quyền, Phường 3, Quận 3, TP. Hồ Chí Minh"
105,Mai Dương Công ty Cổ phần,08 7739 2909,"439 Ngách Ngô Quyền, Phường 2, Thanh Khê, Đà Nẵng"
106,Đặng Tập Đoàn,(03)148-5484,"618 Ngách Lê Duẩn, Phường 13, Ngô Quyền, Hải Phòng"
107,Bùi Công ty TNHH MTV,03 8495 1175,"343 Ngách Hai Bà Trưng, Phường 6, Tân Bình, TP. Hồ Chí Minh"
108,Đặng và Phạm Tập Đoàn,+84-85-266 2949,"962 Đường Hùng Vương, Phường 18, Quận 3, TP. Hồ Chí Minh"
109,Lê và Bùi Công ty Hợp danh,+84-78-411 9186,"865 Hẻm Lê Lợi, Phường 8, Hai Bà Trưng, Hà Nội"
110,Đặng Vũ Công ty TNHH,(00)261-3698,"218 Phố Hoàng Diệu, Phường 2, Bình Thạnh, TP. Hồ Chí Minh"
111,Mai Bùi Công ty Cổ phần,(06) 9648 5158,"14 Đường Trần Phú, Phường 11, Ninh Kiều, Cần Thơ"
112,Vũ và đối tác Công ty Cổ phần,(09) 8476 6831,"549 Ngõ Lê Hồng Phong, Phường 5, Cầu Giấy, Hà Nội"
113,Dương Công ty Trách nhiệm hữu hạn,+84 11 0517749,"135 Hẻm Trần Hưng Đạo, Phường 15, Cầu Giấy, Hà Nội"
114,Bùi Nguyễn Công ty Trách nhiệm hữu hạn,+84-33-905 2680,"567 Hẻm Đinh Tiên Hoàng, Phường 13, Quận 3, TP. Hồ Chí Minh"
115,Bùi và Dương Công ty TNHH MTV,09 2543 2666,"94 Hẻm Láng Hạ, Phường 20, Thanh Khê, Đà Nẵng"
116,Nguyễn Mai Công ty Trách nhiệm hữu hạn,+84 80 1647447,"751 Ngách Giải Phóng, Phường 20, Tân Bình, TP. Hồ Chí Minh"
117,Phạm và Phạm Công ty Cổ phần,+84 24 4094296,"828 Đường Nguyễn Chí Thanh, Phường 15, Thanh Khê, Đà Nẵng"
118,Bùi Trần Tập Đoàn,+84 53 7972327,"499 Hẻm Hai Bà Trưng, Phường 16, Quận 1, TP. Hồ Chí Minh"
119,Dương Doanh nghiệp tư nhân,+84 01 3931202,"702 Phố Giải Phóng, Phường 4, Đống Đa, Hà Nội"
120,Vũ và đối tác Tập Đoàn,+84 32 8445959,"791 Ngách Đinh Tiên Hoàng, Phường 20, Thanh Khê, Đà Nẵng"
121,Bùi và đối tác Doanh nghiệp tư nhân,+84-74-347 4855,"858 Phố Hoàng Diệu, Phường 13, Ngô Quyền, Hải Phòng"
122,Mai Nguyễn Công ty TNHH,+84-18-062 1488,"701 Phố Nguyễn Huệ, Phường 17, Cầu Giấy, Hà Nội"
123,Mai Công ty Trách nhiệm hữu hạn,(06) 7118 6990,"496 Hẻm Hùng Vương, Phường 5, Đống Đa, Hà Nội"
124,Bùi và Nguyễn Tập Đoàn,(00) 9615 3145,"309 Ngách Cách Mạng Tháng 8, Phường 7, Hải Châu, Đà Nẵng"
125,Lê và đối tác Công ty Trách nhiệm hữu hạn,+84-23-356 7969,"180 Hẻm Lý Thường Kiệt, Phường 5, Quận 3, TP. Hồ Chí Minh"
126,Đặng Công ty TNHH MTV,+84-69-314125,"231 Hẻm Lê Lợi, Phường 16, Tân Bình, TP. Hồ Chí Minh"
127,Nguyễn và Phạm Tập Đoàn,02 1412 1072,"777 Đường Lê Lợi, Phường 10, Lê Chân, Hải Phòng"
128,Hoàng Nguyễn Công ty Cổ phần,04 4688 6124,"505 Ngõ Trần Phú, Phường 3, Ngô Quyền, Hải Phòng"
129,Nguyễn Phạm Doanh nghiệp tư nhân,06 9660451,"361 Đường Nguyễn Trãi, Phường 14, Hoàn Kiếm, Hà Nội"
130,Trần và Đặng Doanh nghiệp tư nhân,(00) 4832 2430,"886 Ngõ Trần Phú, Phường 10, Hai Bà Trưng, Hà Nội"
131,Hoàng và Mai Doanh nghiệp tư nhân,+84-03-683 0180,"121 Đường Láng Hạ, Phường 11, Đống Đa, Hà Nội"
132,Bùi Công ty TNHH,04 3576 0460,"693 Hẻm Điện Biên Phủ, Phường 13, Thanh Khê, Đà Nẵng"
133,Trần Lê Tập Đoàn,+84-63-755848,"8 Phố Pasteur, Phường 5, Cầu Giấy, Hà Nội"
134,Mai và Vũ Công ty Cổ phần,(02)415-6436,"491 Hẻm Nguyễn Huệ, Phường 9, Ngô Quyền, Hải Phòng"
135,Hoàng và Vũ Công ty TNHH MTV,+84-93-992 9092,"648 Đường Hai Bà Trưng, Phường 12, Hoàn Kiếm, Hà Nội"
136,Trần Công ty TNHH MTV,(03)813-7399,"268 Hẻm Phan Chu Trinh, Phường 7, Thanh Xuân, Hà Nội"
137,Vũ và đối tác Công ty Hợp danh,(05)306-4619,"342 Đường Phan Chu Trinh, Phường 9, Ninh Kiều, Cần Thơ"
138,Mai và Nguyễn Công ty Hợp danh,+84-40-213955,"259 Ngõ Điện Biên Phủ, Phường 12, Hoàn Kiếm, Hà Nội"
139,Nguyễn Đặng Công ty TNHH MTV,+84 47 7302107,"762 Ngõ Nguyễn Trãi, Phường 11, Ngô Quyền, Hải Phòng"
140,Hoàng và đối tác Tập Đoàn,07 8181347,"78 Ngách Cách Mạng Tháng 8, Phường 2, Cầu Giấy, Hà Nội"
141,Dương và Mai Doanh nghiệp tư nhân,+84-36-477 2792,"878 Ngách Nguyễn Trãi, Phường 1, Thanh Khê, Đà Nẵng"
142,Vũ và đối tác Công ty Trách nhiệm hữu hạn,+84-95-150341,"1 Hẻm Trường Chinh, Xã 17, Hóc Môn, TP. Hồ Chí Minh"
143,Đặng Phạm Công ty Cổ phần,+84 30 9919417,"238 Ngách Nguyễn Chí Thanh, Phường 16, Cầu Giấy, Hà Nội"
144,Đặng và đối tác Công ty Trách nhiệm hữu hạn,(04) 2328 0584,"643 Phố Pasteur, Phường 2, Đống Đa, Hà Nội"
145,Nguyễn và Vũ Công ty TNHH,+84-37-520 9261,"526 Hẻm Bà Triệu, Phường 3, Ninh Kiều, Cần Thơ"
146,Bùi và đối tác Tập Đoàn,(04)367-9127,"738 Hẻm Pasteur, Phường 12, Hải Châu, Đà Nẵng"
147,Dương Hoàng Công ty TNHH,04 5540944,"640 Hẻm Ngô Quyền, Xã 15, Hóc Môn, TP. Hồ Chí Minh"
148,Vũ và Vũ Công ty TNHH,+84-53-700562,"133 Phố Pasteur, Phường 11, Hai Bà Trưng, Hà Nội"
149,Lê Hoàng Doanh nghiệp tư nhân,+84-04-755519,"812 Hẻm Lê Hồng Phong, Phường 9, Bình Thạnh, TP. Hồ Chí Minh"
150,Vũ Công ty Trách nhiệm hữu hạn,00 4590 3678,"834 Phố Nguyễn Trãi, Phường 20, Tân Bình, TP. Hồ Chí Minh"
151,Nguyễn và Nguyễn Công ty TNHH MTV,+84-07-123050,"217 Phố Nguyễn Chí Thanh, Phường 9, Đống Đa, Hà Nội"
152,Đặng và Đặng Công ty TNHH,(04)127-0922,"754 Phố Giải Phóng, Phường 15, Ngô Quyền, Hải Phòng"
153,Mai và Trần Công ty Hợp danh,(00) 8450 4653,"922 Đường Lê Hồng Phong, Phường 18, Quận 1, TP. Hồ Chí Minh"
154,Nguyễn và đối tác Công ty Hợp danh,+84 46 7928533,"632 Ngõ Trần Phú, Xã 10, Hóc Môn, TP. Hồ Chí Minh"
155,Đặng và Hoàng Công ty TNHH,08 2314 7370,"402 Ngách Hùng Vương, Phường 6, Quận 3, TP. Hồ Chí Minh"
156,Vũ Doanh nghiệp tư nhân,(07)649-1243,"526 Ngách Hoàng Diệu, Phường 16, Hoàn Kiếm, Hà Nội"
157,Trần Trần Doanh nghiệp tư nhân,04 6996203,"474 Ngõ Đinh Tiên Hoàng, Phường 2, Ngô Quyền, Hải Phòng"
158,Trần và Phạm Công ty TNHH,04 3477434,"699 Ngách Võ Thị Sáu, Xã 9, Hóc Môn, TP. Hồ Chí Minh"
159,Dương và đối tác Công ty Cổ phần,(07)204-7471,"725 Ngõ Nguyễn Trãi, Phường 19, Quận 7, TP. Hồ Chí Minh"
160,Bùi Tập Đoàn,(01)609-3801,"664 Ngách Lê Lợi, Phường 12, Quận 7, TP. Hồ Chí Minh"
161,Bùi Công ty Cổ phần,+84-24-427338,"397 Đường Nguyễn Trãi, Phường 18, Quận 3, TP. Hồ Chí Minh"
162,Đặng và đối tác Công ty Hợp danh,(01) 9113 4952,"214 Ngách Nguyễn Trãi, Xã 20, Hóc Môn, TP. Hồ Chí Minh"
163,Đặng và đối tác Công ty Trách nhiệm hữu hạn,(05) 2220 5753,"271 Đường Trần Hưng Đạo, Phường 20, Ngô Quyền, Hải Phòng"
164,Phạm Công ty TNHH MTV,08 8683 2376,"75 Ngõ Ngô Quyền, Phường 5, Cầu Giấy, Hà Nội"
165,Vũ Trần Công ty Hợp danh,07 4492 7079,"308 Đường Trần Phú, Phường 20, Thanh Khê, Đà Nẵng"
166,Phạm Công ty Cổ phần,+84-51-208473,"114 Ngõ Điện Biên Phủ, Phường 11, Quận 7, TP. Hồ Chí Minh"
167,Mai Tập Đoàn,04 8573993,"103 Ngách Lê Lợi, Phường 5, Thanh Xuân, Hà Nội"
168,Mai Công ty Hợp danh,02 5629 2173,"167 Đường Ngô Quyền, Phường 19, Hoàn Kiếm, Hà Nội"
169,Nguyễn Công ty Hợp danh,+84-62-984005,"65 Hẻm Nguyễn Trãi, Phường 17, Quận 1, TP. Hồ Chí Minh"
170,Bùi và đối tác Tập Đoàn,+84-93-188805,"86 Phố Kim Mã, Phường 13, Bình Thạnh, TP. Hồ Chí Minh"
171,Đặng và đối tác Tập Đoàn,+84 17 5387189,"235 Ngõ Hai Bà Trưng, Phường 10, Hải Châu, Đà Nẵng"
172,Phạm Trần Công ty Cổ phần,07 1107792,"467 Hẻm Pasteur, Phường 1, Quận 7, TP. Hồ Chí Minh"
173,Dương và đối tác Tập Đoàn,(03)059-9152,"234 Ngõ Nguyễn Chí Thanh, Phường 16, Bình Thạnh, TP. Hồ Chí Minh"
174,Bùi Công ty TNHH MTV,+84-70-669104,"728 Phố Hoàng Diệu, Phường 10, Ngô Quyền, Hải Phòng"
175,Lê và Mai Doanh nghiệp tư nhân,06 7156230,"697 Đường Lý Thường Kiệt, Xã 12, Củ Chi, TP. Hồ Chí Minh"
176,Nguyễn và Mai Công ty TNHH MTV,+84-98-297261,"663 Hẻm Võ Thị Sáu, Xã 20, Củ Chi, TP. Hồ Chí Minh"
177,Nguyễn và đối tác Công ty Cổ phần,+84-57-661102,"51 Phố Trần Phú, Phường 16, Ninh Kiều, Cần Thơ"
178,Lê Tập Đoàn,+84 79 8726392,"605 Hẻm Phan Chu Trinh, Phường 10, Quận 7, TP. Hồ Chí Minh"
179,Nguyễn và Hoàng Công ty Cổ phần,(07)553-8428,"859 Ngách Trần Phú, Phường 3, Hoàn Kiếm, Hà Nội"
180,Nguyễn và Trần Tập Đoàn,+84-85-055 5230,"202 Hẻm Đinh Tiên Hoàng, Phường 7, Lê Chân, Hải Phòng"
181,Mai Công ty Cổ phần,(02) 2534 5749,"173 Phố Nguyễn Chí Thanh, Phường 14, Hai Bà Trưng, Hà Nội"
182,Mai Nguyễn Tập Đoàn,07 7251022,"132 Ngõ Nam Kỳ Khởi Nghĩa, Xã 3, Hóc Môn, TP. Hồ Chí Minh"
183,Nguyễn Mai Công ty Cổ phần,(08) 4141 4642,"850 Đường Hùng Vương, Phường 7, Hoàn Kiếm, Hà Nội"
184,Phạm Vũ Công ty Cổ phần,00 1364930,"510 Đường Nguyễn Chí Thanh, Phường 11, Quận 1, TP. Hồ Chí Minh"
185,Nguyễn Đặng Doanh nghiệp tư nhân,(05)581-8607,"957 Ngõ Trường Chinh, Phường 13, Ngô Quyền, Hải Phòng"
186,Lê Công ty TNHH MTV,(06)815-0209,"667 Ngõ Lê Hồng Phong, Phường 5, Thanh Xuân, Hà Nội"
187,Dương Dương Công ty TNHH,03 7968 3220,"582 Đường Điện Biên Phủ, Phường 5, Cầu Giấy, Hà Nội"
188,Bùi Tập Đoàn,07 4139 7611,"247 Hẻm Lý Thường Kiệt, Phường 8, Quận 1, TP. Hồ Chí Minh"
189,Dương và Lê Công ty TNHH MTV,+84-34-606 1724,"316 Ngách Trường Chinh, Phường 9, Hải Châu, Đà Nẵng"
190,Trần Vũ Công ty Trách nhiệm hữu hạn,03 2312 2219,"811 Hẻm Nam Kỳ Khởi Nghĩa, Phường 10, Tân Bình, TP. Hồ Chí Minh"
191,Lê Phạm Công ty Trách nhiệm hữu hạn,+84 21 4680868,"816 Đường Trần Hưng Đạo, Phường 18, Tân Bình, TP. Hồ Chí Minh"
192,Vũ và Trần Tập Đoàn,+84-30-543 1646,"798 Hẻm Bà Triệu, Phường 5, Thanh Xuân, Hà Nội"
