SupplierID,SupplierName,Phone,Address
27,Bùi Và Phạm Công Ty Cổ Phần,033477014,"144 Hẻm Nguyễn Chí Thanh, Phường 10, Tân Bình, TP. Hồ Chí Minh"
28,Hoàng Vũ Công Ty Hợp Danh,0381664272,"877 Đường Lê Hồng Phong, Phường 6, Quận 1, TP. Hồ Chí Minh"
29,Dương Và Đối Tác Công Ty Tnhh,0496534973,"619 Phố Phan Chu Trinh, Phường 7, Ngô Quyền, Hải Phòng"
30,Trần Và Trần Doanh Nghiệp Tư Nhân,086424194,"337 Đường Bà Triệu, Phường 2, Lê Chân, Hải Phòng"
31,Dương Và Vũ Công Ty Trách Nhiệm Hữu Hạn,092874448,"531 Phố Trần Phú, Phường 17, Quận 3, TP. Hồ Chí Minh"
32,Bùi Và Lê Công Ty Cổ Phần,0623128133,"479 Ngõ Bà Triệu, Phường 9, Lê Chân, Hải Phòng"
33,Đặng Hoàng Công Ty Trách Nhiệm Hữu Hạn,0594970759,"138 Đường Hai Bà Trưng, Phường 8, Cầu Giấy, Hà Nội"
34,Trần Và Đối Tác Công Ty Trách Nhiệm Hữu Hạn,0146733258,"864 Ngõ Ngô Quyền, Xã 18, Hóc Môn, TP. Hồ Chí Minh"
35,Đặng Và Đối Tác Doanh Nghiệp Tư Nhân,023535741,"434 Phố Lê Lợi, Phường 16, Hoàn Kiếm, Hà Nội"
36,Mai Và Đối Tác Doanh Nghiệp Tư Nhân,0585765180,"800 Phố Trần Phú, Phường 20, Ninh Kiều, Cần Thơ"
37,Phạm Vũ Doanh Nghiệp Tư Nhân,012146751,"310 Đường Nguyễn Huệ, Phường 12, Thanh Khê, Đà Nẵng"
38,Mai Và Vũ Công Ty Cổ Phần,0156885159,"984 Ngõ Trần Hưng Đạo, Phường 15, Đống Đa, Hà Nội"
39,Dương Và Đối Tác Công Ty Tnhh,075919788,"639 Hẻm Lê Duẩn, Phường 16, Quận 1, TP. Hồ Chí Minh"
40,Mai Và Đặng Công Ty Tnhh,0266271351,"604 Phố Trần Hưng Đạo, Phường 3, Cầu Giấy, Hà Nội"
41,Phạm Và Đối Tác Công Ty Hợp Danh,043065042,"393 Hẻm Kim Mã, Phường 17, Lê Chân, Hải Phòng"
42,Đặng Và Lê Tập Đoàn,0046870529,"192 Hẻm Trần Hưng Đạo, Xã 10, Hóc Môn, TP. Hồ Chí Minh"
43,Bùi Và Lê Công Ty Tnhh Mtv,0930862403,"753 Phố Lý Thường Kiệt, Phường 9, Ngô Quyền, Hải Phòng"
44,Vũ Và Nguyễn Công Ty Trách Nhiệm Hữu Hạn,0310534443,"656 Hẻm Hoàng Diệu, Phường 4, Cầu Giấy, Hà Nội"
45,Mai Công Ty Trách Nhiệm Hữu Hạn,0270666896,"623 Phố Nguyễn Trãi, Phường 19, Quận 1, TP. Hồ Chí Minh"
46,Trần Và Bùi Công Ty Tnhh Mtv,028148419,"933 Ngõ Hoàng Diệu, Phường 14, Thanh Khê, Đà Nẵng"
47,Đặng Tập Đoàn,068532858,"766 Ngõ Láng Hạ, Xã 11, Củ Chi, TP. Hồ Chí Minh"
48,Nguyễn Và Đối Tác Doanh Nghiệp Tư Nhân,089031036,"877 Đường Hai Bà Trưng, Xã 7, Củ Chi, TP. Hồ Chí Minh"
49,Dương Nguyễn Doanh Nghiệp Tư Nhân,0937647470,"396 Phố Pasteur, Phường 5, Quận 3, TP. Hồ Chí Minh"
50,Lê Và Đối Tác Công Ty Trách Nhiệm Hữu Hạn,0785619568,"167 Đường Hai Bà Trưng, Xã 7, Củ Chi, TP. Hồ Chí Minh"
51,Mai Và Hoàng Tập Đoàn,0614661763,"796 Ngõ Ngô Quyền, Phường 19, Quận 1, TP. Hồ Chí Minh"
52,Dương Công Ty Tnhh,062020591,"688 Ngõ Hoàng Diệu, Phường 16, Tân Bình, TP. Hồ Chí Minh"
53,Phạm Nguyễn Công Ty Cổ Phần,042275473,"746 Hẻm Nguyễn Huệ, Phường 8, Hải Châu, Đà Nẵng"
54,Dương Công Ty Hợp Danh,020160917,"75 Hẻm Lê Duẩn, Xã 20, Củ Chi, TP. Hồ Chí Minh"
55,Đặng Và Đối Tác Công Ty Trách Nhiệm Hữu Hạn,0729298241,"3 Đường Đinh Tiên Hoàng, Phường 20, Thanh Khê, Đà Nẵng"
56,Vũ Công Ty Tnhh Mtv,0933489532,"598 Phố Nguyễn Chí Thanh, Phường 10, Bình Thạnh, TP. Hồ Chí Minh"
57,Bùi Công Ty Trách Nhiệm Hữu Hạn,0605754620,"501 Ngõ Trần Phú, Phường 19, Hải Châu, Đà Nẵng"
58,Vũ Và Đối Tác Công Ty Hợp Danh,063579953,"938 Phố Bà Triệu, Phường 6, Quận 7, TP. Hồ Chí Minh"
59,Phạm Và Phạm Tập Đoàn,031474382,"528 Phố Bà Triệu, Xã 7, Hóc Môn, TP. Hồ Chí Minh"
60,Trần Và Đối Tác Công Ty Hợp Danh,0932254730,"34 Phố Lê Hồng Phong, Phường 19, Cầu Giấy, Hà Nội"
61,Trần Hoàng Tập Đoàn,0830282712,"115 Ngách Nguyễn Huệ, Phường 5, Quận 1, TP. Hồ Chí Minh"
62,Trần Phạm Công Ty Hợp Danh,0769748072,"823 Phố Điện Biên Phủ, Phường 14, Quận 1, TP. Hồ Chí Minh"
63,Phạm Và Đối Tác Tập Đoàn,0933378199,"661 Ngách Nguyễn Trãi, Phường 8, Thanh Xuân, Hà Nội"
64,Phạm Và Đối Tác Công Ty Trách Nhiệm Hữu Hạn,0072706262,"8 Ngách Kim Mã, Phường 15, Quận 3, TP. Hồ Chí Minh"
65,Dương Công Ty Trách Nhiệm Hữu Hạn,0491519243,"887 Ngách Lê Hồng Phong, Phường 18, Đống Đa, Hà Nội"
66,Đặng Tập Đoàn,0665527426,"446 Ngách Trường Chinh, Phường 14, Thanh Khê, Đà Nẵng"
67,Trần Và Bùi Công Ty Hợp Danh,0326629776,"865 Hẻm Đinh Tiên Hoàng, Phường 6, Quận 7, TP. Hồ Chí Minh"
68,Hoàng Phạm Công Ty Tnhh,0785750717,"823 Hẻm Trường Chinh, Phường 5, Quận 7, TP. Hồ Chí Minh"
69,Dương Và Đối Tác Công Ty Tnhh Mtv,0684931622,"371 Phố Lê Lợi, Phường 12, Hoàn Kiếm, Hà Nội"
70,Vũ Nguyễn Công Ty Tnhh Mtv,090165469,"574 Ngách Nguyễn Trãi, Phường 15, Hải Châu, Đà Nẵng"
71,Lê Lê Công Ty Tnhh Mtv,0269508473,"231 Đường Hùng Vương, Phường 12, Ngô Quyền, Hải Phòng"
72,Hoàng Đặng Công Ty Cổ Phần,002117900,"600 Hẻm Đinh Tiên Hoàng, Phường 15, Hải Châu, Đà Nẵng"
73,Trần Và Đối Tác Tập Đoàn,0937211589,"169 Đường Lê Duẩn, Xã 9, Củ Chi, TP. Hồ Chí Minh"
74,Phạm Và Mai Công Ty Trách Nhiệm Hữu Hạn,049840410,"748 Phố Hùng Vương, Phường 7, Lê Chân, Hải Phòng"
75,Mai Và Mai Công Ty Tnhh,0465615987,"271 Ngõ Kim Mã, Phường 12, Hải Châu, Đà Nẵng"
76,Nguyễn Và Lê Công Ty Hợp Danh,0034225043,"178 Ngách Nam Kỳ Khởi Nghĩa, Phường 13, Ninh Kiều, Cần Thơ"
77,Đặng Phạm Công Ty Hợp Danh,0441089312,"495 Ngách Cách Mạng Tháng 8, Phường 1, Lê Chân, Hải Phòng"
78,Vũ Dương Công Ty Cổ Phần,0159558555,"343 Phố Điện Biên Phủ, Phường 10, Ninh Kiều, Cần Thơ"
79,Mai Phạm Công Ty Tnhh Mtv,0702429059,"177 Hẻm Trần Hưng Đạo, Phường 19, Thanh Xuân, Hà Nội"
80,Phạm Và Trần Công Ty Tnhh Mtv,0937282220,"169 Phố Kim Mã, Phường 8, Cầu Giấy, Hà Nội"
81,Nguyễn Và Đối Tác Tập Đoàn,099402850,"706 Hẻm Đinh Tiên Hoàng, Phường 12, Cầu Giấy, Hà Nội"
82,Phạm Và Mai Công Ty Trách Nhiệm Hữu Hạn,0472599033,"387 Phố Hoàng Diệu, Phường 18, Ngô Quyền, Hải Phòng"
83,Phạm Và Mai Tập Đoàn,099365712,"409 Đường Đinh Tiên Hoàng, Phường 13, Cầu Giấy, Hà Nội"
84,Đặng Và Đối Tác Công Ty Trách Nhiệm Hữu Hạn,048524388,"141 Ngõ Trần Phú, Xã 15, Củ Chi, TP. Hồ Chí Minh"
85,Đặng Công Ty Tnhh,0431195554,"38 Hẻm Hoàng Diệu, Phường 9, Đống Đa, Hà Nội"
86,Phạm Công Ty Trách Nhiệm Hữu Hạn,0615975312,"920 Đường Lê Lợi, Phường 16, Hải Châu, Đà Nẵng"
87,Đặng Và Trần Tập Đoàn,043554056,"911 Đường Nam Kỳ Khởi Nghĩa, Phường 2, Hoàn Kiếm, Hà Nội"
88,Dương Công Ty Hợp Danh,0963129506,"15 Phố Hoàng Diệu, Phường 14, Ninh Kiều, Cần Thơ"
89,Bùi Và Đối Tác Công Ty Tnhh,047992768,"989 Đường Bà Triệu, Phường 5, Quận 7, TP. Hồ Chí Minh"
90,Bùi Và Đối Tác Công Ty Cổ Phần,099331366,"321 Ngõ Giải Phóng, Phường 12, Ngô Quyền, Hải Phòng"
91,Vũ Và Phạm Công Ty Hợp Danh,043985184,"191 Đường Bà Triệu, Phường 9, Thanh Xuân, Hà Nội"
92,Dương Và Vũ Công Ty Tnhh,052863643,"62 Phố Trần Hưng Đạo, Phường 2, Hoàn Kiếm, Hà Nội"
93,Nguyễn Và Đối Tác Công Ty Tnhh Mtv,086556516,"911 Phố Lê Duẩn, Phường 17, Hai Bà Trưng, Hà Nội"
94,Bùi Và Đối Tác Công Ty Trách Nhiệm Hữu Hạn,0051930385,"317 Phố Nguyễn Chí Thanh, Phường 14, Hoàn Kiếm, Hà Nội"
95,Nguyễn Và Mai Công Ty Tnhh,0776804795,"449 Đường Trần Phú, Phường 5, Thanh Xuân, Hà Nội"
96,Dương Bùi Công Ty Hợp Danh,077694808,"27 Ngõ Lê Lợi, Phường 16, Quận 1, TP. Hồ Chí Minh"
97,Nguyễn Công Ty Tnhh Mtv,0092323230,"243 Hẻm Trường Chinh, Phường 2, Ngô Quyền, Hải Phòng"
98,Lê Phạm Công Ty Trách Nhiệm Hữu Hạn,010444964,"958 Ngách Hùng Vương, Phường 19, Ninh Kiều, Cần Thơ"
99,Vũ Và Đối Tác Công Ty Hợp Danh,0279934360,"994 Hẻm Lê Hồng Phong, Phường 3, Đống Đa, Hà Nội"
100,Hoàng Và Trần Doanh Nghiệp Tư Nhân,048999020,"592 Hẻm Trường Chinh, Xã 2, Củ Chi, TP. Hồ Chí Minh"
