InventoryID,ProductID,QuantityInStock,LastUpdated,StockStatus
136,136,176,2025-05-12 20:58:36,Normal
137,137,139,2025-10-31 03:24:46,Normal
138,138,108,2026-04-04 01:08:02,Normal
139,139,262,2026-02-18 10:26:25,High
140,140,418,2026-04-18 03:42:02,High
141,141,58,2025-07-28 06:50:48,Normal
142,142,247,2025-11-25 08:23:24,High
143,143,127,2025-12-30 06:51:09,Normal
144,144,21,2026-03-06 03:38:58,Low
145,145,243,2025-05-30 05:20:57,High
146,146,193,2026-04-01 14:50:11,Normal
147,147,165,2026-02-04 07:21:04,Normal
148,148,190,2025-12-29 18:10:08,Normal
149,149,222,2025-06-20 05:11:14,High
150,150,159,2025-11-29 05:21:59,Normal
151,151,465,2026-04-04 07:45:06,High
152,152,333,2025-11-29 00:41:23,High
153,153,442,2025-10-06 00:36:33,High
154,154,248,2025-07-17 10:03:45,High
155,155,233,2026-04-05 05:49:35,High
156,156,368,2026-01-16 08:51:30,High
157,157,458,2025-10-23 06:57:59,High
158,158,5,2025-11-05 18:23:03,Low
159,159,456,2025-07-16 10:35:51,High
160,160,43,2025-12-23 03:46:12,Low
161,161,190,2025-08-09 18:09:06,Normal
162,162,66,2025-06-13 09:23:26,Normal
163,163,217,2026-04-20 09:09:09,High
164,164,380,2025-12-04 20:51:33,High
165,165,265,2026-04-25 22:52:59,High
166,166,396,2025-06-04 00:56:49,High
167,167,309,2025-12-22 14:21:18,High
168,168,246,2025-08-27 22:45:30,High
169,169,351,2025-05-05 23:42:38,High
170,170,311,2026-03-05 12:10:11,High
171,171,161,2025-12-20 02:26:52,Normal
172,172,228,2025-07-03 02:34:37,High
173,173,69,2026-01-24 01:13:56,Normal
174,174,187,2025-09-02 06:03:59,Normal
175,175,333,2025-10-04 20:41:43,High
176,176,137,2026-01-13 02:19:04,Normal
177,177,297,2026-02-05 20:09:49,High
178,178,257,2025-06-24 03:21:53,High
179,179,401,2025-11-10 01:43:14,High
180,180,211,2025-09-25 15:33:58,High
181,181,469,2025-05-21 06:19:41,High
182,182,185,2026-02-05 12:56:56,Normal
183,183,155,2026-03-14 07:20:05,Normal
184,184,399,2025-10-24 17:02:58,High
185,185,109,2026-01-05 04:15:06,Normal
186,186,317,2025-11-18 07:26:31,High
187,187,124,2026-01-17 14:32:30,Normal
188,188,419,2025-12-01 05:42:15,High
189,189,378,2026-01-09 04:29:35,High
190,190,35,2025-12-31 12:51:22,Low
191,191,346,2026-04-16 20:02:09,High
192,192,117,2026-04-23 08:22:49,Normal
193,193,479,2025-05-03 06:33:08,High
194,194,113,2026-01-01 18:07:15,Normal
195,195,155,2026-03-08 15:21:46,Normal
196,196,104,2025-12-02 22:09:15,Normal
197,197,201,2026-01-07 07:32:47,High
198,198,481,2026-01-30 14:55:04,High
199,199,496,2026-04-30 17:36:24,High
200,200,153,2026-02-09 03:12:01,Normal
201,201,345,2026-03-01 21:35:25,High
202,202,112,2025-11-23 22:58:51,Normal
203,203,228,2025-12-14 13:05:50,High
204,204,485,2025-05-04 20:30:20,High
205,205,26,2025-08-26 03:43:45,Low
206,206,483,2026-04-10 23:01:56,High
207,207,419,2026-02-09 02:21:32,High
208,208,151,2025-12-19 12:05:14,Normal
209,209,86,2025-08-29 22:49:47,Normal
210,210,38,2025-05-03 17:24:18,Low
211,211,205,2025-10-26 07:51:03,High
212,212,418,2026-04-15 17:44:56,High
213,213,491,2025-05-06 17:40:08,High
214,214,305,2026-02-15 17:51:54,High
215,215,349,2026-04-04 11:05:19,High
216,216,261,2025-08-09 04:25:05,High
217,217,60,2025-05-23 23:32:11,Normal
218,218,478,2025-12-19 03:27:26,High
219,219,497,2025-10-16 15:15:23,High
220,220,461,2025-08-09 02:49:57,High
221,221,355,2025-10-23 19:56:36,High
222,222,14,2026-01-17 07:37:27,Low
223,223,212,2025-10-24 09:20:41,High
224,224,284,2025-08-07 09:15:24,High
225,225,78,2025-06-24 10:10:28,Normal
226,226,403,2025-06-08 02:03:29,High
227,227,153,2025-09-24 09:56:00,Normal
228,228,76,2025-11-21 13:54:59,Normal
229,229,47,2025-08-05 10:20:38,Low
230,230,42,2025-09-03 04:55:30,Low
231,231,60,2025-12-21 10:16:23,Normal
232,232,293,2025-12-27 11:53:18,High
233,233,98,2025-07-22 23:47:51,Normal
234,234,113,2026-01-06 06:15:45,Normal
235,235,117,2025-09-12 03:03:21,Normal
236,236,308,2025-10-15 03:12:42,High
237,237,256,2025-12-02 02:07:31,High
238,238,154,2026-02-04 12:11:52,Normal
239,239,198,2025-11-21 21:04:47,Normal
240,240,102,2026-01-03 09:28:09,Normal
241,241,90,2025-08-14 14:46:37,Normal
242,242,461,2025-08-23 21:33:12,High
243,243,334,2025-08-11 01:35:43,High
244,244,401,2025-09-23 00:43:24,High
245,245,152,2025-08-23 03:45:05,Normal
246,246,299,2025-06-20 01:28:46,High
247,247,167,2025-05-13 02:33:18,Normal
248,248,114,2025-07-18 19:41:21,Normal
249,249,9,2025-07-09 15:40:21,Low
250,250,500,2026-01-30 23:51:09,High
251,251,136,2025-06-04 15:48:32,Normal
252,252,14,2026-01-13 02:37:44,Low
253,253,425,2025-08-21 15:10:24,High
254,254,177,2025-12-22 12:05:44,Normal
255,255,283,2025-09-29 18:47:22,High
256,256,356,2025-09-18 06:11:43,High
257,257,320,2026-02-17 21:41:05,High
258,258,221,2026-01-24 15:43:39,High
259,259,278,2025-06-30 03:40:57,High
260,260,280,2025-11-30 23:42:54,High
261,261,344,2025-12-04 17:06:37,High
262,262,366,2025-10-18 10:49:46,High
263,263,307,2025-12-04 00:09:25,High
264,264,498,2025-10-10 02:28:11,High
265,265,245,2025-10-27 18:30:45,High
266,266,312,2025-05-14 22:53:17,High
267,267,147,2026-01-30 10:56:55,Normal
268,268,492,2026-01-07 14:42:30,High
269,269,487,2025-10-26 00:43:56,High
270,270,298,2026-01-10 12:28:38,High
271,271,48,2025-09-04 19:14:42,Low
272,272,92,2025-09-19 01:33:48,Normal
273,273,52,2025-08-21 14:04:38,Normal
274,274,401,2025-11-05 09:55:38,High
275,275,237,2025-10-18 22:59:31,High
276,276,452,2026-04-19 21:13:37,High
277,277,256,2026-04-25 08:59:32,High
278,278,351,2026-03-02 06:03:40,High
279,279,27,2026-04-03 23:06:07,Low
280,280,71,2025-10-16 09:33:53,Normal
281,281,493,2025-11-30 23:20:53,High
282,282,275,2025-07-14 05:46:59,High
283,283,373,2025-06-07 14:42:11,High
284,284,417,2025-07-19 07:00:29,High
285,285,421,2025-12-05 12:39:07,High
286,286,471,2025-10-08 16:45:34,High
287,287,85,2026-01-27 05:10:28,Normal
288,288,491,2026-02-23 10:12:50,High
289,289,179,2025-08-04 04:17:34,Normal
290,290,442,2025-09-27 01:18:08,High
291,291,151,2025-08-07 08:20:11,Normal
292,292,28,2025-09-11 14:53:54,Low
293,293,281,2025-07-14 20:54:20,High
294,294,177,2025-11-23 08:55:35,Normal
295,295,256,2026-04-13 20:46:35,High
296,296,446,2026-04-28 23:37:18,High
297,297,411,2026-03-29 17:46:23,High
298,298,180,2026-01-14 19:16:10,Normal
299,299,386,2025-06-10 20:08:02,High
300,300,361,2025-11-14 09:00:10,High
